Date	TransactionID	FarmID	CropType	Quantity	PricePerTon	TotalValue
2023-04-19	TRANS534936	47	Corn	727.8865975986972	368.9602871645529	268561.2480732447
2023-04-04	TRANS524820	19	Soybean	784.0606543662027	223.29153354473027	175074.10590551412
2023-04-01	TRANS641679	35	Corn	459.2556208031028	204.41445611563648	93878.48794451525
2023-04-13	TRANS634942	41	Wheat	100.41095801229598	325.8038674149484	32714.27845124603
2023-04-08	TRANS981199	7	Wheat	458.6828249992394	139.75973535731498	64105.390234839324
2023-04-03	TRANS240736	50	Soybean	309.4150933340586	108.92094711628131	33701.78501801824
2023-04-21	TRANS302119	18	Wheat	226.81522686113942	158.55004514912366	35961.56445934238
2023-04-29	TRANS195294	50	Soybean	895.5609571650144	381.85563862168243	341975.0012228918
2023-04-05	TRANS132272	48	Soybean	192.2567688247771	378.7498900340853	72817.23005069289
2023-04-17	TRANS717978	46	Rice	405.73813405575265	414.76006147423044	168283.9734234035
2023-04-25	TRANS679002	36	Wheat	653.3191301549247	474.3259126425102	309886.19265754556
2023-04-22	TRANS497927	29	Soybean	799.5236036162869	161.38461177141915	129030.80637170047
2023-04-10	TRANS375522	35	Wheat	628.315996431165	170.49503949743712	107124.76062840303
2023-04-19	TRANS831828	20	Rice	752.0356407341837	106.03898704941912	79745.09756851372
2023-04-18	TRANS307969	1	Soybean	700.6329349519248	383.7151862154764	268843.4971037736
2023-04-03	TRANS876674	20	Soybean	500.7832068535986	448.3908071473933	224546.58632694508
2023-04-11	TRANS459565	15	Corn	833.4582617091386	152.24880664234462	126893.0257314193
2023-04-17	TRANS504167	1	Corn	141.0286072946227	362.151823521243	51073.76730040888
2023-04-11	TRANS720384	14	Corn	308.17695675757386	123.10033034989156	37936.68518308159
2023-04-16	TRANS196350	42	Corn	208.52233389915614	115.11991486171974	24005.07332523795
2023-04-10	TRANS416610	10	Rice	402.6309395499064	386.1221021593509	155464.70477340437
2023-04-16	TRANS330364	41	Wheat	846.9260609733011	496.11697228475066	420174.3931191243
2023-04-17	TRANS546283	26	Corn	330.41021721201514	142.07990463125756	46944.65215067621
2023-04-11	TRANS458660	40	Rice	836.819243803609	453.4804527938308	379481.16958665167
2023-04-23	TRANS806604	34	Corn	171.90236313942154	208.31388920731416	35809.649829500944
2023-04-24	TRANS142731	9	Corn	902.9240580065538	438.3416268242283	395789.20048532664
2023-04-16	TRANS774072	15	Soybean	628.7235519569585	365.5417100866138	229824.68235407662
2023-04-21	TRANS612617	15	Corn	515.5515345758814	100.18892455122392	51652.553799890695
2023-04-18	TRANS815471	21	Rice	390.56586390794826	444.7437751226343	173701.73674845393
2023-04-27	TRANS628412	45	Wheat	586.6354875713987	411.71018276324065	241523.80380342336
2023-04-14	TRANS208411	32	Wheat	393.0843567940607	316.4310673925455	124384.10259565682
2023-04-06	TRANS971892	42	Corn	431.17652950804944	307.9780828142784	132792.9209124032
2023-04-03	TRANS623236	17	Corn	998.5326163743997	476.81467540612056	476115.0053589837
2023-04-20	TRANS276843	43	Corn	321.70667135425697	453.18085112650976	145791.30313739853
2023-04-04	TRANS432655	48	Soybean	721.986760935418	468.84938384631994	338503.04800977104
2023-04-17	TRANS536971	41	Soybean	612.7623808669975	442.7331809214534	271290.23803024896
2023-04-23	TRANS470634	45	Wheat	918.4815820155559	431.82942154329436	396627.3702599474
2023-04-14	TRANS675596	26	Rice	341.40525537230826	241.121376717992	82320.1051941286
2023-04-01	TRANS830349	8	Soybean	233.59217312858206	394.7929161353387	92220.53521582382
2023-04-16	TRANS358475	23	Corn	342.6911035312429	303.96433733993877	104165.8741971666
2023-04-12	TRANS818008	5	Wheat	996.8920251556457	463.188034679972	461748.45791998075
2023-04-12	TRANS681414	42	Corn	351.8521869109609	152.35026832982604	53604.775088320996
2023-04-24	TRANS717205	1	Wheat	687.1321716435853	284.36727607420704	195397.90395324084
2023-04-11	TRANS856530	33	Wheat	978.9665325561451	429.1044771891499	420078.9221381796
2023-04-21	TRANS201407	43	Corn	754.7797274947953	499.9870343077753	377380.0775057535
2023-04-24	TRANS255634	26	Soybean	420.5058921008291	315.21339719241377	132549.09078852893
2023-04-02	TRANS864377	23	Wheat	739.324416484745	124.18637642825323	91814.02028817321
2023-04-01	TRANS339645	40	Rice	124.35105715563678	193.43551971829606	24053.91136842014
2023-04-27	TRANS869797	49	Rice	434.6249179885921	324.24443390442593	140924.7104939686
2023-04-24	TRANS157607	44	Corn	707.7196305680388	482.30601972888684	341337.438103269
2023-04-27	TRANS247822	13	Soybean	383.57059286031546	116.02230939318332	44502.745998966275
2023-04-05	TRANS277664	38	Corn	722.9816937249605	346.9866757189194	250865.01451125796
2023-04-18	TRANS479005	27	Rice	522.9700881488552	186.08227837246335	97315.46552338697
2023-04-07	TRANS214915	36	Corn	303.2449686025566	246.313631463988	74693.36943967873
2023-04-06	TRANS127554	41	Corn	545.305696926385	238.25916549209913	129924.08028776803
2023-04-15	TRANS683143	10	Wheat	850.1321861632284	202.09431667936366	171806.88324979122
2023-04-27	TRANS811775	16	Wheat	857.0426171060111	476.93875550485757	408756.8392171671
2023-04-29	TRANS256679	30	Corn	476.8394849769912	370.14207125333076	176498.354624755
2023-04-01	TRANS460433	25	Rice	759.1865626168353	236.40576299725845	179476.07859269888
2023-04-20	TRANS589811	38	Corn	529.546020944729	167.17979900774358	88529.39734689017
2023-04-13	TRANS321703	38	Corn	605.2964098160331	266.03722132877135	161031.3749477387
2023-04-02	TRANS194573	35	Soybean	223.31362538789256	295.3080552624844	65946.31242691352
2023-04-04	TRANS732394	48	Rice	520.7795046049544	325.6857725152564	169610.4752673771
2023-04-03	TRANS259604	46	Rice	222.284538240529	155.50438379754365	34566.220146814994
2023-04-10	TRANS190794	39	Wheat	597.4980962006221	368.2076566162271	220003.37383468807
2023-04-17	TRANS749562	20	Wheat	415.8196690857906	173.50580621301896	72147.12692396085
2023-04-22	TRANS261135	8	Wheat	786.0701094268189	192.20199027442897	151084.23952707276
2023-04-05	TRANS324632	16	Wheat	992.0235590865015	234.42185244427037	232552.00038941577
2023-04-25	TRANS517088	5	Corn	656.9033848655117	425.01446932519366	279193.44351653894
2023-04-12	TRANS245342	38	Wheat	787.0361799321944	481.1716945058353	378699.53233537346
2023-04-22	TRANS964492	24	Wheat	287.2418960463823	391.79754129167407	112540.66862693122
2023-04-10	TRANS631271	22	Soybean	566.2995773540584	273.83908780963515	155074.95968961727
2023-04-02	TRANS189682	46	Wheat	299.4993007785069	425.8121773662395	127530.44938416229
2023-04-28	TRANS101148	38	Corn	938.0649678186084	280.0490932314682	262704.24362980766
2023-04-17	TRANS108573	36	Rice	766.7887632182378	134.7996401429029	103362.84934744003
2023-04-12	TRANS255648	13	Corn	436.0814307346548	369.45285672546095	161111.53034984446
2023-04-22	TRANS388512	7	Rice	733.5795113705148	490.924279324717	360131.992946948
2023-04-26	TRANS740374	28	Wheat	829.4695399383892	321.0945107357991	266338.11609676544
2023-04-21	TRANS627571	9	Wheat	582.5648955432363	204.40258390273914	119077.76994006682
2023-04-02	TRANS574997	49	Rice	649.5511741411179	124.93239061134274	81149.98100985445
2023-04-12	TRANS555915	11	Corn	753.8367226170557	396.3197686033053	298760.39547226555
2023-04-14	TRANS272008	25	Corn	387.8659317238067	189.18601401007317	73378.80959313018
2023-04-19	TRANS957749	12	Soybean	168.2622574442329	270.5216684925789	45518.58662814173
2023-04-13	TRANS601890	7	Rice	869.7756531198438	493.2585757146476	429024.29984917154
2023-04-29	TRANS713815	10	Corn	571.3488918503097	421.0141471928763	240545.96645195302
2023-04-03	TRANS940836	6	Corn	774.7705050025918	434.410064999673	336568.1054380054
2023-04-07	TRANS279246	8	Corn	176.04812129400065	385.576255936897	67879.97547326548
2023-04-14	TRANS721072	14	Rice	785.3321023070381	467.38614017575793	367053.34005339997
2023-04-27	TRANS449001	13	Wheat	178.72524201953377	281.6409911661492	50336.354308791386
2023-04-12	TRANS940819	16	Corn	369.3075404074393	137.7853318920581	50885.16202527869
2023-04-14	TRANS702959	33	Wheat	937.6299270678256	307.14125046183375	287984.82827004994
2023-04-13	TRANS538385	14	Wheat	453.0405946366624	305.48615922608457	138397.63122905546
2023-04-09	TRANS858380	29	Rice	108.49482515043897	460.4743776276498	49959.08708696907
